0.708209, 0.159637, 60
1.10875, 0.238005, 53
1.35256, 0.145125, 55
1.50349, 0.16254, 55
1.67184, 0.336689, 54
2.01433, 0.281542, 55
2.30168, 0.159637, 55
2.46712, 0.159637, 55
2.63256, 0.0928798, 56
2.73125, 0.362812, 55
3.21306, 1.89533, 55
5.11419, 0.769161, 55
6.08943, 0.888163, 53
7.15175, 0.226395, 55
7.38395, 0.252517, 56
7.78739, 0.322177, 55
8.11537, 0.13932, 56
8.32145, 0.557279, 50
8.88453, 2.12463, 50
12.1876, 1.43383, 55
13.6272, 0.293152, 56
13.9262, 0.415057, 55
14.347, 0.478912, 55
14.8317, 0.165442, 53
15.0901, 0.298957, 51
15.4122, 0.191565, 55
15.6096, 0.124807, 55
15.7402, 0.191565, 51
16.0015, 0.246712, 53
16.254, 2.08689, 55
18.3467, 0.261224, 55
